userid,R,F,M,R_SC,F_SC,M_SC,cluster
1,0,5,7.18,-0.7859687761791295,-0.3032315235411064,-0.3494619071262527,2
3,3,8,8.49,-0.2168445457661492,0.5598408808327904,-0.1458669119416384,2
6,0,2,2.58,-0.7859687761791295,-1.1663039279150031,-1.0643756306752796,2
7,6,8,10.49,0.3522796846468311,0.5598408808327904,0.1649651417753298,0
8,4,7,7.09,-0.0271364689618224,0.2721500793748247,-0.3634493495435162,2
9,1,10,9.03,-0.5962606993748027,1.1352224837487217,-0.0619422574380571,0
10,0,7,10.06,-0.7859687761791295,0.2721500793748247,0.0981362502261817,2
11,0,6,6.08,-0.7859687761791295,-0.0155407220831408,-0.5204195366705853,2
12,4,1,0.86,-0.0271364689618224,-1.4539947293729687,-1.3316911968718723,2
13,15,4,5.3,2.059652375885772,-0.590922324999072,-0.641644037620203,1
14,4,2,4.12,-0.0271364689618224,-1.1663039279150031,-0.8250349493132142,2
15,5,2,2.49,0.1625716078425043,-1.1663039279150031,-1.078363073092543,2
16,0,5,5.44,-0.7859687761791295,-0.3032315235411064,-0.6198857938600151,2
17,3,7,8.81,-0.2168445457661492,0.2721500793748247,-0.0961337833469234,2
18,0,8,13.03,-0.7859687761791295,0.5598408808327904,0.5597218499958795,0
19,4,1,0.77,-0.0271364689618224,-1.4539947293729687,-1.345678639289136,2
20,1,6,7.12,-0.5962606993748027,-0.0155407220831408,-0.3587868687377617,2
21,2,4,3.66,-0.406552622570476,-0.590922324999072,-0.8965263216681169,2
22,2,5,8.09,-0.406552622570476,-0.3032315235411064,-0.2080333226850321,2
23,1,3,3.16,-0.5962606993748027,-0.8786131264570376,-0.9742343350973588,2
24,3,6,9.82,-0.2168445457661492,-0.0155407220831408,0.0608364037801454,2
25,8,1,0.5,0.7316958382554847,-1.4539947293729687,-1.3876409665409268,2
27,3,4,5.17,-0.2168445457661492,-0.590922324999072,-0.6618481211118058,2
28,1,3,1.85,-0.5962606993748027,-0.8786131264570376,-1.1778293302819731,2
29,11,1,1.63,1.300820068668465,-1.4539947293729687,-1.2120208561908397,1
30,3,5,11.14,-0.2168445457661492,-0.3032315235411064,0.2659855592333446,2
31,1,7,8.67,-0.5962606993748027,0.2721500793748247,-0.1178920271071113,2
32,4,3,3.84,-0.0271364689618224,-0.8786131264570376,-0.8685514368335897,2
34,0,1,3.99,-0.7859687761791295,-1.4539947293729687,-0.845239032804817,2
36,4,5,9.18,-0.0271364689618224,-0.3032315235411064,-0.0386298534092844,2
37,0,7,7.87,-0.7859687761791295,0.2721500793748247,-0.2422248485938986,2
38,5,5,8.2,0.1625716078425043,-0.3032315235411064,-0.1909375597305989,2
39,2,4,3.26,-0.406552622570476,-0.590922324999072,-0.9586927324115104,2
40,0,2,3.52,-0.7859687761791295,-1.1663039279150031,-0.9182845654283048,2
41,29,1,0.58,4.715565451146347,-1.4539947293729687,-1.375207684392248,1
42,2,4,3.87,-0.406552622570476,-0.590922324999072,-0.8638889560278352,2
43,5,2,0.66,0.1625716078425043,-1.1663039279150031,-1.3627744022435693,2
44,7,2,3.3,0.5419877614511579,-1.1663039279150031,-0.9524760913371711,2
45,1,3,5.55,-0.5962606993748027,-0.8786131264570376,-0.6027900309055819,2
46,4,6,8.14,-0.0271364689618224,-0.0155407220831408,-0.2002625213421078,2
47,5,6,7.94,0.1625716078425043,-0.0155407220831408,-0.2313457267138046,2
48,2,1,0.31,-0.406552622570476,-1.4539947293729687,-1.4171700116440389,2
49,6,4,7.72,0.3522796846468311,-0.590922324999072,-0.2655372526226713,2
52,1,7,19.1,-0.5962606993748027,0.2721500793748247,1.5030971330268783,0
53,1,4,6.05,-0.5962606993748027,-0.590922324999072,-0.5250820174763398,2
55,1,7,9.02,-0.5962606993748027,0.2721500793748247,-0.0634964177066419,2
56,3,4,3.35,-0.2168445457661492,-0.590922324999072,-0.944705289994247,2
57,0,3,2.84,-0.7859687761791295,-0.8786131264570376,-1.023967463692074,2
58,7,1,4.18,0.5419877614511579,-1.4539947293729687,-0.8157099877017052,2
59,2,7,14.19,-0.406552622570476,0.2721500793748247,0.740004441151721,0
60,9,2,2.11,0.9214039150598116,-1.1663039279150031,-1.1374211632987674,1
61,0,8,8.3,-0.7859687761791295,0.5598408808327904,-0.1753959570447503,2
62,1,4,6.9,-0.5962606993748027,-0.590922324999072,-0.3929783946466282,2
64,1,6,7.44,-0.5962606993748027,-0.0155407220831408,-0.3090537401430467,2
65,4,7,10.85,-0.0271364689618224,0.2721500793748247,0.220914911444384,2
66,12,2,5.44,1.490528145472792,-1.1663039279150031,-0.6198857938600151,1
67,12,6,11.57,1.490528145472792,-0.0155407220831408,0.3328144507824927,1
68,3,5,8.7,-0.2168445457661492,-0.3032315235411064,-0.1132295463013569,2
69,1,8,18.77,-0.5962606993748027,0.5598408808327904,1.4518098441635785,0
70,6,1,0.22,0.3522796846468311,-1.4539947293729687,-1.431157454061302,2
71,0,7,6.82,-0.7859687761791295,0.2721500793748247,-0.4054116767953069,2
72,0,6,8.66,-0.7859687761791295,-0.0155407220831408,-0.1194461873756961,2
73,18,2,3.52,2.6287766062987528,-1.1663039279150031,-0.9182845654283048,1
74,13,2,2.76,1.6802362222771188,-1.1663039279150031,-1.0364007458407527,1
75,22,3,7.28,3.38760891351606,-0.8786131264570376,-0.3339203044404042,1
76,1,9,15.81,-0.5962606993748027,0.8475316822907559,0.9917784046624656,0
77,1,9,8.09,-0.5962606993748027,0.8475316822907559,-0.2080333226850321,0
78,4,6,5.96,-0.0271364689618224,-0.0155407220831408,-0.5390694598936033,2
79,3,9,11.53,-0.2168445457661492,0.8475316822907559,0.3265978097081532,0
80,1,15,31.0,-0.5962606993748027,2.573676491038549,3.3525478526428394,0
81,0,10,22.44,-0.7859687761791295,1.1352224837487217,2.0221866627342155,0
82,8,10,24.56,0.7316958382554847,1.1352224837487217,2.3516686396742017,0
83,0,11,22.36,-0.7859687761791295,1.422913285206687,2.0097533805855363,0
84,0,8,14.84,-0.7859687761791295,0.5598408808327904,0.8410248586097359,0
85,4,11,18.26,-0.0271364689618224,1.422913285206687,1.3725476704657518,0
86,0,10,18.2,-0.7859687761791295,1.1352224837487217,1.3632227088542423,0
87,21,3,4.96,3.197900836711733,-0.8786131264570376,-0.6944854867520875,1
88,27,1,2.11,4.336149297537694,-1.4539947293729687,-1.1374211632987674,1
89,2,5,10.36,-0.406552622570476,-0.3032315235411064,0.1447610582837268,2
